,kg_zone,zoneNum
1,Af,1
2,Am,2
3,As,3
4,Aw,4
5,BSh,5
6,BSk,6
7,BWh,7
8,BWk,8
9,Cfa,9
10,Cfb,10
11,Cfc,11
12,Csa,12
13,Csb,13
14,Csc,14
15,Cwa,15
16,Cwb,16
17,Cwc,17
18,Dfa,18
19,Dfb,19
20,Dfc,20
21,Dfd,21
22,Dsa,22
23,Dsb,23
24,Dsc,24
25,Dsd,25
26,Dwa,26
27,Dwb,27
28,Dwc,28
29,Dwd,29
30,EF,30
31,ET,31
32,Ocean,32
